script,model,fold,valid_accuracy,test_accuracy
train OKD distillation,edgenext,1,0.735294118,0.947368421
train OKD distillation,edgenext,2,0.735294118,0.815789474
train OKD distillation,edgenext,3,0.735294118,0.894736842
train OKD distillation,edgenext,4,0.852941176,0.894736842
train OKD distillation,edgenext,5,0.757575758,0.894736842
train OKD distillation,edgenext,6,0.939393939,0.947368421
train OKD distillation,edgenext,7,0.757575758,0.842105263
train OKD distillation,edgenext,8,0.696969697,0.947368421
train OKD distillation,edgenext,9,0.818181818,0.973684211
train OKD distillation,edgenext,10,0.818181818,0.868421053
train 2 class KOD distillation,edgenext,1,0.5,0.928571429
train 2 class KOD distillation,edgenext,2,0.5,0.714285714
train 2 class KOD distillation,edgenext,3,0.916666667,0.928571429
train 2 class KOD distillation,edgenext,4,0.833333333,0.928571429
train 2 class KOD distillation,edgenext,5,0.666666667,1
train 2 class KOD distillation,edgenext,6,0.75,0.785714286
train 2 class KOD distillation,edgenext,7,0.916666667,0.928571429
train 2 class KOD distillation,edgenext,8,0.75,1
train 2 class KOD distillation,edgenext,9,0.727272727,0.928571429
train 2 class KOD distillation,edgenext,10,1,0.928571429
train 2 class KOD distillation,mobilenet,1,0.75,0.714285714
train 2 class KOD distillation,mobilenet,2,0.583333333,0.642857143
train 2 class KOD distillation,mobilenet,3,0.75,0.928571429
train 2 class KOD distillation,mobilenet,4,0.75,0.928571429
train 2 class KOD distillation,mobilenet,5,0.75,1
train 2 class KOD distillation,mobilenet,6,0.75,0.785714286
train 2 class KOD distillation,mobilenet,7,1,1
train 2 class KOD distillation,mobilenet,8,0.833333333,0.928571429
train 2 class KOD distillation,mobilenet,9,0.636363636,0.928571429
train 2 class KOD distillation,mobilenet,10,0.818181818,0.785714286
train cross dataset incremental,dense,1,0.689655172,0.882352941
train cross dataset incremental,dense,2,0.728476821,0.787589499
train cross dataset incremental,dense,3,0.728476821,0.727272727
train cross dataset incremental,dense,4,0.604651163,0.821917808
train cross dataset incremental,dense,5,0.707275804,0.837777778
train cross dataset incremental,dense,6,0.847407407,0.853391685
train cross dataset incremental,dense,7,0.701754386,0.754098361
train cross dataset incremental,dense,8,0.629213483,0.727272727
train cross dataset incremental,dense,9,0.711798839,0.821670429
train cross dataset incremental,dense,10,0.754716981,0.805045872
train cross dataset incremental,edgenext,1,0.694736842,0.853391685
train cross dataset incremental,edgenext,2,0.712328767,0.77014218
train cross dataset incremental,edgenext,3,0.711340206,0.787878788
train cross dataset incremental,edgenext,4,0.546558704,0.914285714
train cross dataset incremental,edgenext,5,0.759075908,0.836689038
train cross dataset incremental,edgenext,6,0.776699029,0.787589499
train cross dataset incremental,edgenext,7,0.729684909,0.751807229
train cross dataset incremental,edgenext,8,0.59447983,0.744416873
train cross dataset incremental,edgenext,9,0.56019656,0.89748954
train cross dataset incremental,edgenext,10,0.777777778,0.77014218
train cross dataset incremental,mobilenet,1,0.671532847,0.800469484
train cross dataset incremental,mobilenet,2,0.551724138,0.623493976
train cross dataset incremental,mobilenet,3,0.487804878,0.643678161
train cross dataset incremental,mobilenet,4,0.514285714,0.725388601
train cross dataset incremental,mobilenet,5,0.571428571,0.807424594
train cross dataset incremental,mobilenet,6,0.473684211,0.776978417
train cross dataset incremental,mobilenet,7,0.821428571,0.830769231
train cross dataset incremental,mobilenet,8,0.751219512,0.837777778
train cross dataset incremental,mobilenet,9,0.587412587,0.686648501
train cross dataset incremental,mobilenet,10,0.715909091,0.77014218
train cross dataset incremental distilled,mobilenet,1,0.485981308,0.5625
train cross dataset incremental distilled,mobilenet,2,0.506912442,0.737913486
train cross dataset incremental distilled,mobilenet,3,0.487804878,0.746231156
train cross dataset incremental distilled,mobilenet,4,0.514285714,0.6
train cross dataset incremental distilled,mobilenet,5,0.608695652,0.774271845
train cross dataset incremental distilled,mobilenet,6,0.791862285,0.787878788
train cross dataset incremental distilled,mobilenet,7,0.771929825,0.865671642
train cross dataset incremental distilled,mobilenet,8,0.776699029,0.837777778
train cross dataset incremental distilled,mobilenet,9,0.623376623,0.848484848
train cross dataset incremental distilled,mobilenet,10,0.748663102,0.76097561
train cross dataset incremental distilled,edgenext,1,0.78125,0.862745098
train cross dataset incremental distilled,edgenext,2,0.641221374,0.744416873
train cross dataset incremental distilled,edgenext,3,0.656716418,0.883227176
train cross dataset incremental distilled,edgenext,4,0.553359684,0.862745098
train cross dataset incremental distilled,edgenext,5,0.659611993,0.805045872
train cross dataset incremental distilled,edgenext,6,0.864628821,0.774271845
train cross dataset incremental distilled,edgenext,7,0.730769231,0.713216958
train cross dataset incremental distilled,edgenext,8,0.634920635,0.76097561
train cross dataset incremental distilled,edgenext,9,0.665289256,0.849557522
train cross dataset incremental distilled,edgenext,10,0.8,0.865671642
train cross dataset finetune,mobilenet,1,0.608,0.744416873
train cross dataset finetune,mobilenet,2,0.551724138,0.637168142
train cross dataset finetune,mobilenet,3,0.570815451,0.680851064
train cross dataset finetune,mobilenet,4,0.454545455,0.611620795
train cross dataset finetune,mobilenet,5,0.634920635,0.776978417
train cross dataset finetune,mobilenet,6,0.738461538,0.709511568
train cross dataset finetune,mobilenet,7,0.776699029,0.760493827
train cross dataset finetune,mobilenet,8,0.740740741,0.837777778
train cross dataset finetune,mobilenet,9,0.696324952,0.821670429
train cross dataset finetune,mobilenet,10,0.748663102,0.865671642
train cross dataset finetune,dense,1,0.659340659,0.89748954
train cross dataset finetune,dense,2,0.694736842,0.853391685
train cross dataset finetune,dense,3,0.716612378,0.830769231
train cross dataset finetune,dense,4,0.672597865,0.8125
train cross dataset finetune,dense,5,0.701754386,0.8125
train cross dataset finetune,dense,6,0.721649485,0.744416873
train cross dataset finetune,dense,7,0.68852459,0.853391685
train cross dataset finetune,dense,8,0.647398844,0.751807229
train cross dataset finetune,dense,9,0.770053476,0.821670429
train cross dataset finetune,dense,10,0.8,0.848484848
train cross dataset finetune,edgenext,1,0.738019169,0.898550725
train cross dataset finetune,edgenext,2,0.757281553,0.76097561
train cross dataset finetune,edgenext,3,0.728476821,0.793650794
train cross dataset finetune,edgenext,4,0.524017467,0.821917808
train cross dataset finetune,edgenext,5,0.659611993,0.79245283
train cross dataset finetune,edgenext,6,0.707275804,0.744416873
train cross dataset finetune,edgenext,7,0.729684909,0.868534483
train cross dataset finetune,edgenext,8,0.59447983,0.709511568
train cross dataset finetune,edgenext,9,0.545454545,0.787589499
train cross dataset finetune,edgenext,10,0.754716981,0.805045872
train 3 class KOD,dense,1,0.8,0.863636364
train 3 class KOD,dense,2,0.95,1
train 3 class KOD,dense,3,0.8,1
train 3 class KOD,dense,4,0.75,0.818181818
train 3 class KOD,dense,5,0.894736842,1
train 3 class KOD,dense,6,0.684210526,0.909090909
train 3 class KOD,dense,7,0.789473684,0.818181818
train 3 class KOD,dense,8,0.578947368,0.863636364
train 3 class KOD,dense,9,0.736842105,1
train 3 class KOD,dense,10,1,1
train cross dataset incremental early stop,edgenext,1,0.709459459,0.868534483
train cross dataset incremental early stop,edgenext,2,0.757281553,0.76097561
train cross dataset incremental early stop,edgenext,3,0.728476821,0.793650794
train cross dataset incremental early stop,edgenext,4,0.524017467,0.821917808
train cross dataset incremental early stop,edgenext,5,0.659611993,0.79245283
train cross dataset incremental early stop,edgenext,6,0.707275804,0.744416873
train cross dataset incremental early stop,edgenext,7,0.729684909,0.868534483
train cross dataset incremental early stop,edgenext,8,0.59447983,0.709511568
train cross dataset incremental early stop,edgenext,9,0.545454545,0.787589499
train cross dataset incremental early stop,edgenext,10,0.821428571,0.830769231
train cross dataset incremental early stop,mobilenet,1,0.608,0.744416873
train cross dataset incremental early stop,mobilenet,2,0.551724138,0.637168142
train cross dataset incremental early stop,mobilenet,3,0.570815451,0.680851064
train cross dataset incremental early stop,mobilenet,4,0.454545455,0.611620795
train cross dataset incremental early stop,mobilenet,5,0.634920635,0.776978417
train cross dataset incremental early stop,mobilenet,6,0.753768844,0.709511568
train cross dataset incremental early stop,mobilenet,7,0.759075908,0.760493827
train cross dataset incremental early stop,mobilenet,8,0.740740741,0.837777778
train cross dataset incremental early stop,mobilenet,9,0.675889328,0.821670429
train cross dataset incremental early stop,mobilenet,10,0.821428571,0.882352941
train cross dataset incremental early stop,dense,1,0.677419355,0.883227176
train cross dataset incremental early stop,dense,2,0.711340206,0.882352941
train cross dataset incremental early stop,dense,3,0.689655172,0.821670429
train cross dataset incremental early stop,dense,4,0.672597865,0.8125
train cross dataset incremental early stop,dense,5,0.68852459,0.821670429
train cross dataset incremental early stop,dense,6,0.912863071,0.821670429
train cross dataset incremental early stop,dense,7,0.722513089,0.837777778
train cross dataset incremental early stop,dense,8,0.695652174,0.732843137
train cross dataset incremental early stop,dense,9,0.611973392,0.837777778
train cross dataset incremental early stop,dense,10,0.730769231,0.732843137
train osteopenia incremental early stop,edgenext,1,0,0
train osteopenia incremental early stop,edgenext,2,0,0
train osteopenia incremental early stop,edgenext,3,0,0
train osteopenia incremental early stop,edgenext,4,0,0
train osteopenia incremental early stop,edgenext,5,0,0
train osteopenia incremental early stop,edgenext,6,0,0
train osteopenia incremental early stop,edgenext,7,0,0
train osteopenia incremental early stop,edgenext,8,0,0
train osteopenia incremental early stop,edgenext,9,0,0
train osteopenia incremental early stop,edgenext,10,0,0
train osteopenia incremental early stop,mobilenet,1,0,0
train osteopenia incremental early stop,mobilenet,2,0,0
train osteopenia incremental early stop,mobilenet,3,0,0
train osteopenia incremental early stop,mobilenet,4,0,0.133333333
train osteopenia incremental early stop,mobilenet,5,0,0
train osteopenia incremental early stop,mobilenet,6,0,0.25
train osteopenia incremental early stop,mobilenet,7,0,0
train osteopenia incremental early stop,mobilenet,8,0,0.25
train osteopenia incremental early stop,mobilenet,9,0,0.133333333
train osteopenia incremental early stop,mobilenet,10,0,0
train osteopenia incremental early stop,dense,1,0,0
train osteopenia incremental early stop,dense,2,0,0
train osteopenia incremental early stop,dense,3,0,0
train osteopenia incremental early stop,dense,4,0,0
train osteopenia incremental early stop,dense,5,0,0
train osteopenia incremental early stop,dense,6,0,0
train osteopenia incremental early stop,dense,7,0,0
train osteopenia incremental early stop,dense,8,0,0
train osteopenia incremental early stop,dense,9,0,0
train osteopenia incremental early stop,dense,10,0,0
train osteopenia incremental ewc,mobilenet,1,0.149425287,0
train osteopenia incremental ewc,mobilenet,2,0.153153153,0.246575342
train osteopenia incremental ewc,mobilenet,3,0.564102564,0.523809524
train osteopenia incremental ewc,mobilenet,4,0.451612903,0.670212766
train osteopenia incremental ewc,mobilenet,5,0.151351351,0.132352941
train osteopenia incremental ewc,mobilenet,6,0.335329341,0.572254335
train osteopenia incremental ewc,mobilenet,7,0.111111111,0.094488189
train osteopenia incremental ewc,mobilenet,8,0.10989011,0.094890511
train osteopenia incremental ewc,mobilenet,9,0,0.427672956
train osteopenia incremental ewc,mobilenet,10,0.469273743,0.45323741
train osteopenia incremental ewc,dense,1,0.152380952,0.796460177
train osteopenia incremental ewc,dense,2,0,0.439306358
train osteopenia incremental ewc,dense,3,0,0
train osteopenia incremental ewc,dense,4,0,0
train osteopenia incremental ewc,dense,5,0,0.352941176
train osteopenia incremental ewc,dense,6,0.153110048,0.25
train osteopenia incremental ewc,dense,7,0.111111111,0.180555556
train osteopenia incremental ewc,dense,8,0,0
train osteopenia incremental ewc,dense,9,0,0
train osteopenia incremental ewc,dense,10,0.110497238,0.094488189
train osteopenia incremental ewc,edgenext,1,0,0
train osteopenia incremental ewc,edgenext,2,0.153846154,0.133333333
train osteopenia incremental ewc,edgenext,3,0,0
train osteopenia incremental ewc,edgenext,4,0,0
train osteopenia incremental ewc,edgenext,5,0,0
train osteopenia incremental ewc,edgenext,6,0,0
train osteopenia incremental ewc,edgenext,7,0,0.258278146
train osteopenia incremental ewc,edgenext,8,0,0
train osteopenia incremental ewc,edgenext,9,0,0
train osteopenia incremental ewc,edgenext,10,0,0
train osteopenia incremental lwf,edgenext,1,0.285714286,0.25
train osteopenia incremental lwf,edgenext,2,0.270833333,0.648648649
train osteopenia incremental lwf,edgenext,3,0,0
train osteopenia incremental lwf,edgenext,4,0,0
train osteopenia incremental lwf,edgenext,5,0,0.248366013
train osteopenia incremental lwf,edgenext,6,0.153846154,0.133333333
train osteopenia incremental lwf,edgenext,7,0,0.180555556
train osteopenia incremental lwf,edgenext,8,0.153846154,0
train osteopenia incremental lwf,edgenext,9,0,0.133333333
train osteopenia incremental lwf,edgenext,10,0.111111111,0.094890511
train osteopenia incremental lwf,mobilenet,1,0.148148148,0
train osteopenia incremental lwf,mobilenet,2,0.153846154,0.133333333
train osteopenia incremental lwf,mobilenet,3,0.279069767,0.387096774
train osteopenia incremental lwf,mobilenet,4,0.48,0.324324324
train osteopenia incremental lwf,mobilenet,5,0.144,0.32231405
train osteopenia incremental lwf,mobilenet,6,0.105263158,0.093457944
train osteopenia incremental lwf,mobilenet,7,0.111111111,0.324324324
train osteopenia incremental lwf,mobilenet,8,0,0.180555556
train osteopenia incremental lwf,mobilenet,9,0,0.413793103
train osteopenia incremental lwf,mobilenet,10,0.505263158,0.572254335
train osteopenia incremental lwf,dense,1,0.444444444,0.8
train osteopenia incremental lwf,dense,2,0.476190476,0.680628272
train osteopenia incremental lwf,dense,3,0.492307692,0.713615023
train osteopenia incremental lwf,dense,4,0.153110048,0.133333333
train osteopenia incremental lwf,dense,5,0.14159292,0.740384615
train osteopenia incremental lwf,dense,6,0.44198895,0.712871287
train osteopenia incremental lwf,dense,7,0.210526316,0.095238095
train osteopenia incremental lwf,dense,8,0.153846154,0.133333333
train osteopenia incremental lwf,dense,9,0.164835165,0.352941176
train osteopenia incremental lwf,dense,10,0,0
train osteopenia incremental lwf&ewc,mobilenet,1,0.266666667,0
train osteopenia incremental lwf&ewc,mobilenet,2,0.152380952,0.244604317
train osteopenia incremental lwf&ewc,mobilenet,3,0.466321244,0.5
train osteopenia incremental lwf&ewc,mobilenet,4,0.484848485,0.64640884
train osteopenia incremental lwf&ewc,mobilenet,5,0.151351351,0.132352941
train osteopenia incremental lwf&ewc,mobilenet,6,0.335329341,0.530120482
train osteopenia incremental lwf&ewc,mobilenet,7,0.210526316,0.094488189
train osteopenia incremental lwf&ewc,mobilenet,8,0.109090909,0.094890511
train osteopenia incremental lwf&ewc,mobilenet,9,0.301507538,0.483870968
train osteopenia incremental lwf&ewc,mobilenet,10,0.533980583,0.620689655
train osteopenia incremental lwf&ewc,edgenext,1,0.285714286,0.25
train osteopenia incremental lwf&ewc,edgenext,2,0.484848485,0.545454545
train osteopenia incremental lwf&ewc,edgenext,3,0,0
train osteopenia incremental lwf&ewc,edgenext,4,0,0
train osteopenia incremental lwf&ewc,edgenext,5,0,0.132867133
train osteopenia incremental lwf&ewc,edgenext,6,0.151351351,0.132867133
train osteopenia incremental lwf&ewc,edgenext,7,0,0.258278146
train osteopenia incremental lwf&ewc,edgenext,8,0,0
train osteopenia incremental lwf&ewc,edgenext,9,0,0
train osteopenia incremental lwf&ewc,edgenext,10,0,0
train osteopenia incremental lwf&ewc,dense,1,0.371428571,0.853556485
train osteopenia incremental lwf&ewc,dense,2,0.378378378,0.776255708
train osteopenia incremental lwf&ewc,dense,3,0.483870968,0.766816143
train osteopenia incremental lwf&ewc,dense,4,0.152284264,0.132867133
train osteopenia incremental lwf&ewc,dense,5,0.265060241,0.792792793
train osteopenia incremental lwf&ewc,dense,6,0.339622642,0.713615023
train osteopenia incremental lwf&ewc,dense,7,0.111111111,0.180555556
train osteopenia incremental lwf&ewc,dense,8,0,0
train osteopenia incremental lwf&ewc,dense,9,0,0
train osteopenia incremental lwf&ewc,dense,10,0.110497238,0.094488189
